COUNTRY,YEAR,SEX,circulatory_diseases,youth_unemployment_rate,gross_national_income,unemployment_rate,regular_daily_smokers,average_fruit_vegtable_ppd,fat_available_ppd,adult_overweight,self_injury,average_number_of_calories_available_per_person_per_day,total_hospital_beds,Ischaemic_heart_diseas,life_expectancy,alcahol_consumption_liter_per_capita,protein_ppd
Austria,1991.0,ALL,3051.58,3.72,21810.0,3.46,27.5,209.1,159.23,40.09,1.25,3556.0,70143.0,38.53,75.95,14.1,103.15
Austria,1992.0,ALL,3002.43,4.13,24520.0,3.61,35.0,212.51,161.42,40.4,1.44,3546.0,69268.0,37.38,76.13,13.6,103.95
Austria,1995.0,ALL,2844.85,5.91,28190.0,3.66,24.0,200.16,152.79,41.33,1.04,3510.0,67853.0,35.48,76.97,13.4,100.54
Austria,1999.0,ALL,2646.71,5.93,27080.0,3.72,36.3,205.56,157.23,42.58,0.83,3673.0,64594.0,30.69,78.13,12.8,105.49
Austria,2006.0,ALL,1834.76,9.75,41500.0,5.3,23.2,238.95,162.3,44.27,0.79,3719.0,63354.0,18.06,80.19,12.58,101.46
Austria,2014.0,ALL,1496.58,10.27,50390.0,5.6,24.3,191.5,162.15,44.55,0.43,3672.0,64815.0,13.6,81.79,12.4,106.52
Belgium,2000.0,ALL,1764.72,15.29,25890.0,6.9,31.0,192.23,161.53,49.0,1.73,3709.0,79639.0,21.13,77.96,11.21,96.58
Belgium,2001.0,ALL,1691.5,15.37,24460.0,6.6,28.0,185.88,164.94,49.29,1.89,3747.0,78763.0,18.67,78.32,11.01,100.83
Belgium,2002.0,ALL,1693.75,15.66,24060.0,7.5,29.0,196.02,165.81,49.57,1.89,3749.0,78272.0,18.98,78.32,11.29,100.64
Belgium,2003.0,ALL,1675.19,18.98,27100.0,8.2,27.0,203.02,162.06,49.83,1.42,3717.0,77905.0,18.83,78.45,11.28,99.47
Belgium,2004.0,ALL,1576.45,17.5,32910.0,8.4,24.0,211.57,160.79,50.08,1.68,3722.0,77881.0,16.73,79.11,12.05,99.25
Belgium,2005.0,ALL,1497.84,21.47,37780.0,8.5,20.0,194.56,163.34,50.31,1.53,3716.0,77799.0,16.48,79.19,12.21,99.26
Belgium,2006.0,ALL,1367.28,20.49,39940.0,8.3,22.0,209.79,163.62,50.51,1.35,3716.0,70714.0,15.02,79.79,10.94,100.12
Belgium,2007.0,ALL,1328.41,18.81,42740.0,7.5,22.0,213.19,165.2,50.67,1.46,3713.0,70461.0,14.71,79.9,13.43,101.18
Belgium,2008.0,ALL,1283.78,17.96,46570.0,7.0,20.5,219.59,162.36,50.8,1.17,3702.0,70410.0,14.6,80.0,10.51,98.38
Belgium,2013.0,ALL,1078.34,23.7,47900.0,8.6,19.0,172.4,162.32,50.96,0.97,3733.0,69940.0,10.21,80.79,10.33,99.6
Bulgaria,2001.0,ALL,5035.02,39.07,1770.0,17.3,32.7,166.25,92.23,46.23,2.96,2816.0,56984.0,51.23,71.91,11.07,84.36
Bulgaria,2007.0,ALL,4629.05,15.17,4820.0,6.9,39.7,125.08,93.82,48.47,1.73,2734.0,48749.0,41.12,73.07,10.66,76.13
Bulgaria,2008.0,ALL,4399.22,12.79,6070.0,5.6,29.2,112.13,92.48,48.81,1.53,2782.0,49507.0,38.14,73.41,10.73,80.01
Bulgaria,2014.0,ALL,3999.37,23.77,7700.0,11.4,28.2,109.15,88.16,50.4,1.21,2865.0,51505.0,32.5,74.57,10.3,85.53
Cyprus,2008.0,ALL,1503.91,8.45,31970.0,3.7,26.5,199.78,115.2,54.14,1.17,2657.0,2977.0,25.42,81.17,12.03,81.82
Cyprus,2014.0,ALL,1250.39,34.6,26530.0,16.1,25.7,170.7,111.58,54.12,1.0,2995.0,2912.0,20.18,82.39,9.63,91.87
Czechia,1996.0,ALL,3926.55,7.17,5980.0,3.9,26.2,161.67,111.19,54.25,1.63,3319.0,85246.0,59.57,74.02,13.78,95.59
Czechia,1999.0,ALL,3681.6,16.5,6110.0,8.7,23.5,155.84,113.97,53.81,1.44,3118.0,79551.0,47.57,74.94,13.85,91.4
Czechia,2002.0,ALL,3489.91,15.3,6650.0,7.3,24.1,130.23,115.52,53.77,1.26,3243.0,79177.0,39.63,75.51,13.77,92.97
Czechia,2003.0,ALL,3565.33,16.7,8110.0,7.8,27.2,137.69,120.35,53.83,1.27,3319.0,78825.0,37.06,75.4,13.87,92.99
Czechia,2004.0,ALL,3305.35,19.85,10260.0,8.3,25.4,143.9,116.75,53.93,1.15,3322.0,78004.0,35.22,75.96,13.42,96.08
Czechia,2005.0,ALL,3235.22,19.26,12480.0,7.9,24.3,148.71,128.05,54.07,0.87,3318.0,77309.0,33.31,76.18,13.66,99.33
Czechia,2006.0,ALL,2952.07,17.54,14000.0,7.1,23.4,146.58,137.7,54.24,0.96,3279.0,76245.0,32.22,76.82,13.58,95.26
Czechia,2007.0,ALL,2835.52,10.77,15850.0,5.3,24.0,145.66,134.33,54.46,1.02,3261.0,75502.0,32.87,77.1,13.83,95.06
Czechia,2008.0,ALL,2715.49,9.87,18510.0,4.4,21.8,154.39,137.67,54.69,0.71,3268.0,74924.0,31.12,77.42,13.65,93.79
Czechia,2009.0,ALL,2749.94,16.66,18840.0,6.7,23.6,147.78,136.23,54.95,0.82,3276.0,74607.0,29.54,77.5,13.43,92.58
Czechia,2010.0,ALL,2640.59,18.34,19400.0,7.3,22.8,117.89,137.72,55.23,0.76,3276.0,73746.0,29.04,77.81,12.68,92.81
Czechia,2011.0,ALL,2528.11,18.02,19460.0,6.7,21.7,123.47,133.25,55.52,0.81,3251.0,71750.0,29.34,78.06,12.56,90.81
Czechia,2012.0,ALL,2491.89,19.48,19440.0,7.0,22.9,109.28,136.98,55.83,0.81,3243.0,70014.0,27.58,78.24,12.83,86.83
Czechia,2013.0,ALL,2375.89,18.95,19410.0,7.0,22.2,119.87,137.05,56.16,0.84,3256.0,67888.0,28.07,78.4,12.54,87.44
Czechia,2014.0,ALL,2179.19,15.86,18900.0,6.1,22.3,124.04,128.48,56.51,0.7,3197.0,67937.0,25.19,79.02,12.75,87.44
Germany,1992.0,ALL,2775.3,5.97,25810.0,6.3,24.8,195.62,146.1,48.6,1.14,3392.0,796905.0,36.67,76.21,13.84,93.57
Germany,1995.0,ALL,2607.2,8.47,29520.0,7.8,24.3,157.81,138.16,50.25,1.14,3249.0,790756.0,32.89,76.83,13.35,91.89
Germany,1999.0,ALL,2363.51,8.89,26840.0,7.9,24.7,172.13,140.71,52.25,0.88,3279.0,754865.0,26.21,78.09,12.94,93.85
Germany,2003.0,ALL,2231.35,11.02,26140.0,8.9,24.3,179.0,139.19,53.75,0.67,3390.0,721690.0,21.66,78.72,11.92,97.95
Germany,2005.0,ALL,1964.89,15.54,35770.0,10.3,23.2,173.29,138.96,54.3,0.55,3450.0,698303.0,19.81,79.54,11.68,96.96
Germany,2009.0,ALL,1674.37,11.22,43660.0,6.6,21.9,173.24,142.81,54.85,0.53,3515.0,674830.0,16.66,80.41,11.23,102.56
Germany,2013.0,ALL,1547.07,7.82,47220.0,4.6,20.9,149.27,141.84,54.69,0.47,3499.0,667560.0,14.82,80.71,11.08,101.56
Denmark,1997.0,ALL,2099.66,8.1,35150.0,7.9,33.0,178.71,128.9,39.31,1.18,3365.0,24538.0,25.61,76.27,12.2,104.3
Denmark,1998.0,ALL,2002.1,7.18,33460.0,6.6,33.0,157.17,134.13,39.94,0.93,3395.0,24082.0,24.07,76.74,11.69,107.87
Denmark,1999.0,ALL,2003.46,9.9,33060.0,5.7,31.0,187.17,131.69,40.56,1.07,3332.0,23352.0,21.95,76.53,11.62,103.46
Denmark,2000.0,ALL,1904.33,6.73,32580.0,5.4,30.5,192.5,133.99,41.15,1.23,3313.0,22927.0,20.41,77.21,11.68,99.86
Denmark,2001.0,ALL,1919.22,8.22,31410.0,5.3,29.5,183.31,135.54,41.7,0.88,3335.0,22604.0,19.27,77.3,11.54,107.62
Denmark,2002.0,ALL,1866.27,7.03,30850.0,5.1,28.0,259.15,130.59,42.22,0.9,3373.0,23040.0,16.69,77.27,11.32,107.32
Denmark,2003.0,ALL,1790.11,9.81,34750.0,6.2,28.0,237.78,130.11,42.71,1.14,3343.0,22281.0,16.68,77.58,11.53,103.36
Denmark,2004.0,ALL,1660.26,7.78,42640.0,6.4,26.0,237.56,133.35,43.15,0.64,3382.0,21462.0,15.06,77.98,11.26,105.56
Denmark,2005.0,ALL,1567.59,8.61,49610.0,4.8,26.0,234.06,137.46,43.54,0.99,3414.0,20902.0,13.05,78.44,11.26,115.63
Denmark,2006.0,ALL,1473.7,7.68,53540.0,3.9,25.0,226.52,130.9,43.88,0.69,3407.0,20613.0,13.36,78.5,11.02,112.93
Denmark,2007.0,ALL,1377.04,7.49,55740.0,3.4,24.0,208.29,130.43,44.15,0.8,3445.0,20159.0,11.98,78.61,10.99,110.58
Denmark,2008.0,ALL,1271.4,9.45,60390.0,1.9,23.0,211.15,127.22,44.37,0.81,3326.0,19615.0,11.53,78.98,10.7,109.26
Denmark,2009.0,ALL,1215.04,13.42,60090.0,3.6,19.0,238.86,131.31,44.53,0.81,3340.0,19296.0,11.18,79.2,10.08,103.86
Denmark,2010.0,ALL,1188.67,15.56,61220.0,6.0,20.0,192.6,126.75,44.62,0.77,3365.0,19405.0,10.17,79.52,10.27,109.45
Denmark,2011.0,ALL,1059.33,16.3,61990.0,7.6,18.0,188.01,129.92,44.68,0.78,3334.0,17433.0,9.92,80.07,10.45,104.33
Denmark,2013.0,ALL,991.26,14.73,63200.0,5.8,17.0,155.67,131.41,44.72,0.37,3363.0,17241.0,9.02,80.56,9.44,111.13
Denmark,2014.0,ALL,919.89,14.15,63670.0,5.0,17.0,156.42,131.42,44.74,0.66,3355.0,15174.0,8.44,80.99,9.55,108.67
